,title,hits
1,AKMU - ‘Love Lee’ M/V,899454
53,AKMU - ‘Love Lee’ M/V,899454
74,[선공개🎨] '지구가 태양을 네 번' IU Live Clip (With 넬),827902
45,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],807821
79,두 번째 만남에 가족이 되었습니다ㅣ키르기스스탄 - 세계여행 [64],807821
41,실전 현실육아 가보자고,793431
88,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),716508
42,[🤰🏻vlog] 입덧이..사라지나..? 마님과 돌쇠 생활에 익숙해진 임신 중기! 열심히 먹고 쉬는 일상 (feat. 축 시누언니 셋째아기 출산),716508
67,On the street (Feat. ASH ISLAND),698590
30,카더가든과 냥뇽녕냥과 가터벨트와 양념치킨 l 최애의 아이들 EP8,683740
96,카더가든과 냥뇽녕냥과 가터벨트와 양념치킨 l 최애의 아이들 EP8,683740
91,진짜 아무 계획 없이 떠난 홍콩 여행 EP.1 [Eng sub],625529
85,[MV] GIRL'S DAY(걸스데이) - Darling(달링)｜Cover by 주르르,606087
55,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),601183
4,(PL 2R) 토트넘 홋스퍼 2-0 맨체스터 유나이티드 // 2분 하이라이트 (🇰🇷 한글자막),601183
72,나한테 잘해줬던 여자,551521
20,나한테 잘해줬던 여자,551521
87,[VLOG] 5개월 아기의 첫 비행기 실패🥲😱,549125
16,[VLOG] 5개월 아기의 첫 비행기 실패🥲😱,549125
35,실리카겔 (Silica Gel) - T + Tik Tak Tok (feat. So!YoON!) [MV],475166
71,P의 연애,461500
21,P의 연애,461500
7,미방분 하드 탈탈~ 여행 끝난김에 하드일주1 #태어난김에세계일주2,454921
70,미방분 하드 탈탈~ 여행 끝난김에 하드일주1 #태어난김에세계일주2,454921
75,"[#2/2] ""문막 엄마라고 불러요"" 배한성의 전처를 가족으로 인정한 늦둥이 아들과 찾은 묘소",453384
33,"[#2/2] ""문막 엄마라고 불러요"" 배한성의 전처를 가족으로 인정한 늦둥이 아들과 찾은 묘소",453384
66,If I have you only (My love X Nerd Connection) (그대만 있다면 (여름날 우리 X...,412746
36,"[나 혼자 산다] 깡 🍶 술 마시는 지효를 찾아온 찐친 트와이스 정연 😍 어딘가로 향하는 둘?!, MBC 230818 방송",404415
82,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,374724
17,[후토크] 추멘 “이런 토트넘 축구는 처음” 맨유 압도했던 NEW 토트넘의 놀라운 경기력!!,374724
58,AKMU - ‘후라이의 꿈’ SPECIAL LYRIC VIDEO,373244
2,AKMU - ‘후라이의 꿈’ SPECIAL LYRIC VIDEO,373244
38,[유브이 녹음실] 축하의 왕 유노윤호,372578
27,남반구만 가면 풀파워 🇪🇸🛳 / 2023 FIFA 호주·뉴질랜드 여자월드컵 결승전 스페인 vs 잉글랜드 [습츠_여자월드컵],348047
26,"[연인 7회 예고] ＂왜 낭자만 보면, 심장이 이리도 요란해지는지＂, MBC 230825 방송",336080
22,"루델팡도 없는 옵션을 편집자가 가져가버렸다 ㄷㄷ [팡이요, 메이플스토리]",328438
90,"루델팡도 없는 옵션을 편집자가 가져가버렸다 ㄷㄷ [팡이요, 메이플스토리]",328438
92,가지 이제 찌지말고 이렇게 해 보세요 오래두어도 #인기급상승동영상,292734
29,함께 떠나는 생애 첫 해외여행! 나영이네 런던이야기 ep.1,277836
46,아직 말은 안 통하지만 이젠 우리집 막내야,277683
43,VLOG 하루종일 엄마!!외치는 8개월아기😍피곤에 찌든 남편과 주말육아😵,268876
8,무빙ㅣ10-11회 예고편ㅣ디즈니+,266278
84,'플레이메이커' 새롭게 찾은 토트넘의 손흥민 활용법! 포스테코글루 리그 첫 승!! (토트넘 VS 맨유),263271
19,'플레이메이커' 새롭게 찾은 토트넘의 손흥민 활용법! 포스테코글루 리그 첫 승!! (토트넘 VS 맨유),263271
34,[꼬꼬무 91회 요약] ＂국방부장관을 만나고 싶다＂ 무장 탈영병이 명동 한복판에서 벌인 초유의 인질극 | 꼬리에 꼬리를 무는 그날 이야기 (SBS방송),252813
14,TO DO X TXT - EP.116 월요일 월요일은 즐거워 2편,250218
15,[#TV동물농장] 동생바오들이 태어난 후 바오가족에게 생긴 변화🐼 / EP.1134 #TV동물농장 #AnimalFarm #SBSsotry,165983
40,🎠세상에서 제일 작은 디즈니랜드? 홍콩 디즈니랜드 VIP 투어해봄! 🎉🎉,158009
9,"친구 몰래 치킨 먹기!!! 먹는 거 들키면 아무 것도 못 먹는다!!! (w.닛몰캐쉬, 백앤아)",146463
89,"친구 몰래 치킨 먹기!!! 먹는 거 들키면 아무 것도 못 먹는다!!! (w.닛몰캐쉬, 백앤아)",146463
10,PLAVE (플레이브) '여섯 번째 여름' M/V Teaser,104258
32,제주도에 처음 와본 몰도바 시골소녀의 반응 (오빠! 제주도 흑돼지 미쳤따..),98571
